🔒 Row ID,team_id,category_id,indicator_id,mode_id
iYlETk-dR1GOyvsZaCRuIg,dBKL2fNDOcwXeQ8Hpc10,2,11,1
DRukwxaZQxK.fvtMRX2IBw,dBKL2fNDOcwXeQ8Hpc10,2,12,1
UgyzA85cR2-M2CnPe7CV5g,dBKL2fNDOcwXeQ8Hpc10,2,13,1
kya8JpIZQsOiHmqFvbvSIg,dBKL2fNDOcwXeQ8Hpc10,2,14,1
H.B0DN7lQnWpvy064L.uew,dBKL2fNDOcwXeQ8Hpc10,2,15,1
jiPq1wGeRfeTnUcYQX1r5w,dBKL2fNDOcwXeQ8Hpc10,2,16,1
QJ.DyvLqQGe5CVCDvnDz-g,dBKL2fNDOcwXeQ8Hpc10,2,17,1
tIbnzpi6TyONl80nWH4otw,dBKL2fNDOcwXeQ8Hpc10,2,18,1
b2F-QUnMSq2-CjItTO5cWw,dBKL2fNDOcwXeQ8Hpc10,2,19,1
zrVYceRTQsKD.gNm4x37kg,dBKL2fNDOcwXeQ8Hpc10,2,10,2
vNYlvGFCSYmQIbsNJtvyGg,dBKL2fNDOcwXeQ8Hpc10,2,11,2
hyQy09XnQCmlQgGfIrcQfQ,dBKL2fNDOcwXeQ8Hpc10,2,12,2
ke11wgYLQt2np3YLLMAdhg,dBKL2fNDOcwXeQ8Hpc10,2,13,2
h52TlU90Sr6PXZ6KHRtmCg,dBKL2fNDOcwXeQ8Hpc10,2,14,2
zG8D7NKRSpawKb0pm5ojhw,dBKL2fNDOcwXeQ8Hpc10,2,15,2
9RwyD4saQg2W0ATnm8N.eg,dBKL2fNDOcwXeQ8Hpc10,2,16,2
wOr6sjxEQOygHyx12AlkEw,dBKL2fNDOcwXeQ8Hpc10,2,17,2
cebJor8-RsK5o04g4AVjwQ,dBKL2fNDOcwXeQ8Hpc10,2,18,2
Ka8qL0rjSBWerYlPsZFFXQ,dBKL2fNDOcwXeQ8Hpc10,2,19,2
hmuiVGQESYODrMc9uLzt9A,dBKL2fNDOcwXeQ8Hpc10,2,10,3
oh.WxA-dS06Mx-y633Rwuw,dBKL2fNDOcwXeQ8Hpc10,2,11,3
FAVZUr9JSgK46s3TTYVzkg,dBKL2fNDOcwXeQ8Hpc10,2,12,3
Y3Juy0lCS2mCWmGOpfYCUQ,dBKL2fNDOcwXeQ8Hpc10,2,13,3
hwDXM01WSpGsSFBrfE.GXQ,dBKL2fNDOcwXeQ8Hpc10,2,14,3
FMW5ORLDTbimDwdVyz-vOQ,dBKL2fNDOcwXeQ8Hpc10,2,15,3
U0lATEF5Q4Ks94SldqXBFQ,dBKL2fNDOcwXeQ8Hpc10,2,16,3
EjZHoiPiSyuJkN3rcyPLuA,dBKL2fNDOcwXeQ8Hpc10,2,17,3
4JQVAuJeSZaS1I9zc5VfDQ,dBKL2fNDOcwXeQ8Hpc10,2,18,3
Kcc4mMavQ3eVAoPioGd7Yw,dBKL2fNDOcwXeQ8Hpc10,2,19,3
UrbmAAzxQJuNbQmJ67nPxw,dBKL2fNDOcwXeQ8Hpc10,2,10,4
kDeh8iFMTyGV6XZJZRR3Zw,dBKL2fNDOcwXeQ8Hpc10,2,11,4
Yk.NALYFTfSsx0niPMlq-g,dBKL2fNDOcwXeQ8Hpc10,2,12,4
siFyf907RWahf8JIXG927Q,dBKL2fNDOcwXeQ8Hpc10,2,13,4
gCDX2B9IQwe2.brXFjx62g,dBKL2fNDOcwXeQ8Hpc10,2,14,4
HWtW0QiCST-qaJGZnWDZkw,dBKL2fNDOcwXeQ8Hpc10,2,15,4
wxa.SetqTc-MORXxT4evWg,dBKL2fNDOcwXeQ8Hpc10,2,16,4
JZPw5wKjRsChIqTGYEMjPw,dBKL2fNDOcwXeQ8Hpc10,2,17,4
Hwy-FgG8TGSnW9m71IoYmQ,dBKL2fNDOcwXeQ8Hpc10,2,18,4
cCLpwBPiSZaJeBa2WH-IbQ,dBKL2fNDOcwXeQ8Hpc10,2,19,4
lgMfbV2eRN2Vl7RUOiNWVQ,dBKL2fNDOcwXeQ8Hpc10,2,10,5
mMkbKv2wTeGUjRNtGps15Q,dBKL2fNDOcwXeQ8Hpc10,2,11,5
